Mot;Abréviation;Définition
AÀGE,;s., f.;s.  f.  Durée,  degré  de  la  vie,  époque  de  l'existence  :
(IB.;V.;  V.  8198.)
AÀYANCE;s., f.; s.  f.  Aisance ,  commodité.  Les  «  aâyances  «  d'une  maison,  d'un  jardin,  c.-à.-d.  tout  ce  qu'une  maison,  un  jardin,  peuvent  offrir  de  lieux  ou  de  dispositions  commodes ,  de  dépendances  utiles  ou  agréables.
AÀYE,;s., f.;s.  f.  Aise,  contentement,  bien-être  :  «  ai
AÂYE,;adj., Morv., n.; Aise,  content,  satisfait  :  «  i  seii  aâye  d'  vô  voua  »,  je  suis  content  de  vous  voir.  Une  partie  du  Morv.  n.  pi-ononce  «  âge,  âgé  »,  pour  aise,  aisé.
AÂYEMAN,;s., m., Morv., n.;m.  Meuble,  ustensile  de  ménage,  vaisselle  de  terre  ou  de  bois,  etc.  Morv.  n.  «  age-  man,  agiman.  »
AÀYETÉ,;s., f.;s.  f.  État  d'une  personne  qui  est  aise,  contente,  satisfaite.
ABORJAULE,;adj., c.-à-d.;adj.  Abordable,  accessible,  ave-  nant. Se  dit  des  personnes  et  des  choses  :  un  homme  «  aborjaule  »,  une  maison  «  aborjaule  »,  c.-à-d.  d'un  accès  facile.
ABOULER,;V., a.;V.  a.  Apporter,  transmettre  à  quel-  qu'un un  objet  désigné  :  «  aboule-moi  mon  chapeau,  mon  bâton.  »
ABRE,;s., m.;s.  m.  Arbre.  Nous  prononçons  «  âbre  »  avec  les  Bourguignons,   les  Picards,  les  Lorrains,  etc.
ÂBRÔ,;s., m., c.-à-d.; m.  Se  dit  des  menus  engins  qu'on  em-  ploie à  divers  usages  champêtres.  Un  pêcheur  va  à  la  pêche,  un  chasseur  se  met  en  chasse ,  un  fau-  cheur entre  dans  la  prairie,  muni  de  tous  ses  «  âbrôs  »,  c.-à-d.  de  tous  les  petits  objets  qui  sont  nécessaires  pour  pêcher,  chasser,  faucher.
ABUJER,;a., Morv., n.; v.  a.  Amuser,  dissiper.  Morv.  n.
ABUJOTTE,;s., f., Morv., n.;f.  Jouet,  objet  dont  on  s'amuse.  Morv.  n.  n.-o.  (Voy.  Aibmot.)
ACCIPER;V., a., fr.; V.  a.  Saisir  rapidcmenl,  happer.  Le  mot  exprime  dans  toute  son  intensité  l'action  de  prendre.  En  1.  accipcre  avait  au  besoin  la  même  force,  puisque  les  anciens  donnaient  aux  oiseaux  de  proie  le  nom  générique  de  accipiter.  Le  fr.  pos-  sède Fadj.  accipitrin  ,  terme  de  zoologie  ,  qui  mar-  que la  conformité  de  nature  avec  les  oiseaux  de  proie.
ACE,;s., f., Morv., n.;f.  Herse,  instrument  agricole.  Change-  ment de  l'e  initial  en  a  et  chute  de  l'r.  Cotgrave  donne  les  deux  formes  harce  et  herce.  Une  autre  partie  du  Morv.  n.  change  l'e  en  o.   (Voy.  Ordie.)
ACER,;V., a., Morv., n.;a.  Herser,  cultiver  avec  la  herse.  Morv.  n.
A;loc., fr., prép., pron.;"loc.  Chez.  Dites  «  à  chez  Pierre  »  que  nous  nous  portons  bien.  Il  est  arrivé  un  malheur  «  à  chez  Guillaume.  »  On  dit  en  fr.  dans  le  langage  familier  :  un  homme  de  chez  nous;  ou  subst.  :  il  n'y  a  pas  de  petit  chez  soi.  Chez  ne  s'emploie  avec  la  prép.  a  qu'accompagné  du  pron.  poss.  :  il  tient  beaucoup  à  son  chez  lui.  (Voy.  Chez.)"
ACHÔ,;loc.; AJCHÔ,  particule  d'affirm.  Oui,  c'est  ainsi.  «  Achô  »  est  formé  de  l'interj.  a  pour  ah,  et  de  cho,  forme  loc.  en  ch  de  so,  oui,  ainsi.  Le  1.  sic  avait  la  double  signif.  de  oui  et  de  ainsi.  Comp.  avec  l'angl.  such,  et  surtout  l'ital.  cio.  Si  nous  par-  lons comme  les  italiens,  nos  français  du  XHP  siècle  parlaient  quelquefois  comme  les  allemands  :
ACOUTER,;a.; v.  a.  Écouter,  faire  attention ,  pren-  dre garde.
ACREÎCHOT,;s., m.;s.  m.  Crochet,  agraffe.
ÀCRIT,;s., m., Morv., n.;m.  Écrit.  Je  ne  veux  pas  de  parole,  je  veux  un  «  âcrit.  »  Morv.  n.
ÂCRITEURE,;s., f., Morv., n.;f.  Écriture,  ce  qui  est  écrit.  Morv.  n.
ADROIT;s., m., c.-à-d.;"s.  m.  Endroit  ;  ne  s'emploie  qu'au  pluriel.  Les  «  adroits  »  d'une  localité,  c.-à-d.  les  environs  :  «  a  n'  traige  pas  dans  nos  adroits  »  ;  il  ne  vient  pas  souvent  dans  le  pays  que  nous  habitons."
AFFILLOURE,;s., f.;11  mouillées,  s.  f.  Cape,  man-  teau des  bergères  qui  ressemble,  pour  la  coupe  et  l'étoffe,  à  la  limousine  des  cliarretiers.
AGA!;interj., c.-à-d.;interj.  Regarde  !  attention  !  vois!  Le  cure  de  G ,  mon  voisin  .  interrogeait  un  jour  un  en-  fant sur  son  catéchisme  et  lui  disait  :  Oîi  est  Dieu?  Au  lieu  de  répondre  comme  l'enseigne  le  formu-  laire, l'innocent  montra  un  crucifix  suspendu  à  la  muraille,  et  répondit  :  «  Aga-lu  !  »  c.-à-d.  le  voici,  voyez-le  !
AGAITER,;V., a.;V.  a.  Guetter,  surveiller  de  près,  épier.  Cet  homme  est  méchant,  mais  je  vais  bien  «  l'agaiter.  »
AGASSE;s., f.;TAUffiOUREVETTE,  s.  f.  Pie-grièche.
ÂGIE,;s., f., Morv., n.;f.  Evier,  pierre  creusée  sur  laquelle  on  lave  et  d'oîi  l'eau  s'écoule  au  dehors.  «  Agie  »  vient  de  «  âge  »  comme  évier  de  eve.  Age  et  evesont  des  formes  archaïques  pour  eau.  Morv.  n.
AGRAFER,;a.; v.  a.  Saisir,  agripper.
AGRÔ,;s., m., fr.;"  m.  Ergot  du  coq  et  de  certains  oi-  seaux ;  tubercule  corné  de  quelques  mammifères.  «Agrô»  est  une  métathèse  de  argot  usité  envi.  fr."
AGUEURION,;s., m., Morv., n.;m.  Héron,  oiseau  de  l'ordre  des  échassiers.  Morv.  n.  n.-o.  (Voy.  Aigron.)
AHAIE,;s., f., Morv., n.;f.  Haie  vive  ou  sèche.  Morv.  n.
AI,;prép.; prép.  à,  marque  la  tendance  ou  la  posses-  sion. Ai  pour  a  est  essentiellement  bourguignon.  Dans  un  mandement  du  bailli  de  Chalon-sur-  Saône  à  son  sergent,  1322  :
AIBAITOU,;s., m.;s.  m.  Abatteur,  celui  qui  abat.  Se  dit  principalement  des  bûcherons  qui  abattent  les  arbres  dans  la  fabrication  du  bois  de  moule  :  tt  Ç'ô  eun  boun  aibaitou.  »
AIBAITRE,;V., a.;V.  a.  Abattre.
AIBANDON,;s., m.;s.  m.  Désordre,  confusion  :  «  Al  é  tô  mettu  ai  l'aibandon  »,  il  a  tout  bouleversé.
AIBANDOUNER,;a., Bourg.;v.  a.  Abandonner.  Bourg.  «  aiband'nai.  »
AIBATELOU,;s., m.;s.  m.  Bateleur,  celui  qui  donne  des  spectacles  en  plein  air,  baladin ,  farceur  qui  amuse  le  public  en  faisant  des  tours  ou  des  grimaces.  Il  faudrait  écrire  esbatelou  si  le  mot  bateleur  était  dérivé  du  verbe  esbattre  par  le  retranchement  du  préfixe.  L'ital.  sbattere,  secouer,  agiter,  brouiller  en  battant,  correspondrait  à  une  forme  ébatter  dont  esbateler  serait  le  fréquentatif.  En  bas  1.  battere,  batere,  battre.  Le  patois  du  Centre  a  le  verbe  «  bâteler  »  qui  définit  à  merveille  les  agissements  d'un  bateleur.  L'ancienne  langue  donne  souvent  au  subst.  esbattement  le  sens  de  tour  de  force,  de  jonglerie  :
AIBAUBI,;fr.; part.  pass.  du  v.  abaubir,   inusité.  Ébahi,  déconcerté,  abasourdi,  —  Vi.  fr.  abaubi,  ébaubi  :
AIBEURIER,;V., a.;V.  a.  Abrier  par  métath.  Abriter,  mettre  à  couvert.
AIBEURIÔ,;s., m.;s.  m.  Abri,  lieu  où  l'on  se  met  à  couvert.  —  H.  Maine  :  «  aberiot.  »
AIBLME,;s., f.;s.  f.  Abîme,  lieu  profond,  où  l'on  en-  fonce, marais.  Nous  disons  une  «  aibime  »  et  même  une  Cl  ambîme.  »
AIBLEGE,;s., f.;s.  f.  Une  quantité  de ,  un  amas
AIBLÉGER,;V., a.;V.  a.  Accabler,  surcharger,  écraser.  On  est  «  aiblége  »  de  grêle,  de  coups,  d'injures.  Ro-  quef., sans  citer  aucun  texte  à  l'appui,  enregistre
AIBLOTI,;V., a.;V.  a.  Accabler  ,  écraser.  La  pluie  ,  le  vent,  dans  un  orage,  «aiblôlit»  le  voyageur. —  Bloc,  qui  a  formé  bloquer,  se  prononce  «  blô  »  en  bourg,  et  s'écrivait  souvent  «  blot.  »  En  allem.  blotzen,  s'écraser,  ce  qui,  suivant  Diez,  donne  la  signifie,  propre  de  se  blottir.  Ablotir  serait  le  même  verbe  pris  dans  le  sens  actif.
AIBÔSSU9IER,;a., fr.;V,  a.  Apostropher  avec  violence,  accabler  d'injures,  d'insultes.  —  Rapp.  du  vi.  fr.  abosmer,  accabler,  abîmer.
AIBODÉQUER,;a., Morv., n.;" a.  Écraser,  aplatir  contre  un  mur  ou  contre  un  corps  dur.  On  dit  cependant  des  œufs,  brisés  à  la  sortie  des  petits  poussins,  qu'ils  sont  «  aibouéqués.  »  Ce  dernier  sens  est  proba-  blement le  vrai  ;  l'autre  n'aura  été  créé  que  par  assimilation.  Une  partie  du  Morv.  n.  prononce  «  aibouécer.  »"
AIBOUERE,;s., m.;"s.  m.  Boisson  mélangée  de  farine  qu'on  donne  aux  petits  porcelets  ;  pâtée  très  liquide  :  «  al  é  mettu  d'  l'aibouére  dan  lai  soue  »,  il  a  mis  de dans  le  tect  à  porcs."
AIBOULI,;V., a.;V.  a.  Abolir,  effacer,  abattre.
AIBOULITION,;s., f.;s.  f.  Désordre,  désastre,  ruine  :  «  al  é  tô  mettu  ai  l'aiboulition  dan  sai  maïon  ».  il  a  tout  mis  sens  dessus  dessous  dans  sa  maison.  .
AIBOUT'NER,;a.; v.  a.  Boutonner,  attacher  quelque  chose  avec  des  boutons  :  «  aibout'né  vô  »,  bou-  tonnez-vous.
AIBREUVAU,;s., m.;s.  m.  Partie  sensible  qui  corres-  pond à  une  blessure ,  à  une  meurtrissure,  à  une  plaie.
AIBREUVER,;a.; v.  a.  Abreuver,  donner  à  boire  :  «  aibreuver  1'  neurin  »,  faire  boire  le  bétail.
AIBREUVOU,;s., m.;s.  m.  Abreuvoir,  lieu  où  les  ani-  maux s'abreuvent.
AIBU,;s., m.;"s.  m.  Amusement;  abus  ou  perte  de  temps.  Il  y  a  beaucoup  «  d'aibu  »  dans  un  ouvrage  minutieux  ,  c'est-à-dire  beaucoup  de  perte  de  temps.  Aibu  a  la  même  valeur  à  peu  près  que  «  aibuïeman.  »"
AIBUÏEMAN,;s., m.;s.  m.  Amusement,  flânerie,  dissi-  pation, abus  ou  mauvais  emploi  du  temps.
AIBUÏER,;V., a.;V.  a.  Amuser,  dissiper,  détourner  de  l'ouvrage,  faire  perdre  le  temps  à  quelqu'un.
AIBUÏOT.;s., m.;s.  m.  Jouet  d'enfant,  hochet,  tout  objet  avec  lequel  on  s'amuse.  Morvan  n.-n.-o.  «  aibutiot.  »  (Voy.  Abujotte.)
AICABOICHER,;a.; v.  a.  Charger  la  tête,  écraser,  fouler  sous  un  poids.
AICÂGNARDI,;V., a.;V.  a.  Acoquiner,  amollir,  énerver.
AICAÏOUNER,;V., a., Morv., n.;a.  Poursuivre  quelqu'un  à  coups  de  pierres,  lapider.  Morv.  n.
AICCENSE,;s., f.;s.  f.  Accense.  Loyer  d'une  maison,
AICCENSER,;V., a.;"V.  a.  Louer,  amodier,  donner  ou  prendre  en  location  ;  s'emploie  usuellement  aux  environs  de  Château-Chinon,  mais  seulement  lors-  qu'il est  question  des  biens-fonds,  des  immeubles  :  aiccenser  un  champ,  un  pré,  une  ferme,  une  maison."
AICE,;s., f., fr.; f.  Petite  hache,  cognée  à  manche  très  court  et  dont  le  taillant  ressemble  à  celui  d'une  pioche.  L'aice  rappelle  tout  à  fait  l'ascia  des  Romains.  On  trouve  fréquemment  la  forme  hace  en  vi.  fr.
AICHAITI,;a.;  v.  a.   Attirer,   allécher  par  l'appât  d'une  friandise,  d'une  récompense.  Être  «  aichaiti  »  à  quelque  chose  exprime  l'idée  d'un  désir  stimulé  par  une  jouissance    antérieure.    Dans  un  de  ses  noëls,  La  Monnaye  dit  au  Sauveur  :  Le  monde  au  vice  at  Echaiti  Devein-vo  po  lu  tan  pâti  ?  Ai  n'an  éto  pa  daigne.
AICHAUIHI,;V., a.;V.  a.  Engazonner.
AICHI,;s., m., fr.;" m.  Essieu;  apoc.   du  vi.  fr.  aisil  ou  aixieu  avec  le  changement  de  l's  en  oh.  Wallon  :  «  asî  »,  essieu;  câblons.  «  assi.  »  Du  1.  axis."
AICHISTANCE,;s., f.;s.  f.  Assistance,  aide,  secours.  Prêter  «  aichistance  »,  donner  du  secours.
AICHITER.;V., a.;V.  a.  Asseoir.
(M.;V.; V.  113.)
AICHITON,;s., m., Morv., n.;m.  Escabeau  à  trois  pieds,  petit  siège  bas  sans  dossier.  Morv.   n.
AICITER,;V., a.;V.  a.  Citer,  appeler  à  comparaître  devant  le  juge  de  paix.
AICOMPAINGNER,;a.; v.  a.  Accompagner,  aller  de  compagnie  avec  quelqu'un  :  «  i  va  l'aicompain-  gner  cheu  lu.  »
AICORCI,;V., a.;V.  a.  Accourcir,  rendre  plus  court,  abréger.
AICOTER.;V., a.;V.  a.  Appuyer,  soutenir,  mettre  d'a-  plomb, —  barrer,  fermer  au  moyen  d'un  obstacle,  —  accouder.
(G.;V.; de  V.  p.  27.)
AICÔTEUMER,;a.; v.  a.  Acoutumer.
AICOUAU;loc.; (ai  1'),  loc.  A  l'abri,  à  couvert.
AICOUCHIE,;s., f.;s.  f.  Accouchée,  une  femme  qui  vient  d'accoucher.
AICOUTEUJIANCE,;s., f.;s.  f.  Coutume,  habitude.
AICRAPAUDI;réfl., Morv.;(s'),  v.  réfl.  S'affaisser,  se  mettre  à  plat  à  la  manière  des  crapauds.  Morv.  n.-n.-o.
AICRÔ,;s., m.;s.  m.  Croc,  crochet,  agraffe,  tout  ins-  trument avec  lequel  on  peut  accrocher  quelque  chose  et  notamment  celui  dont  on  se  sert  pour  le  flottage  des  bois  de  moule  sur  les  ruisseaux  ou  rivières  du  pays.
AICROICHER,;V., a.;V.  a.  Accrocher.
AICTIOUNER,;V., a.;V.  a.  Appeler  devant  le  juge  de  paix,  citer  en  justice.  Le  mot  et  le  fait  sont  très  usités.  «  S'a  contùne,  i  m'en  va  l'aictiouner  »,  s'il  continue,  je  vais  lui  faire  un  procès.
AICTIOUNEU,;adj.; adj.  Actif,  énergique,  ardent.  «  C'ô  eun  honme  bin  aictiouneu  »,  c'est  un  homme  très  actif.  Se  dit  aussi  d'un  étalon,  d'un  taureau  qui  a  beaucoup  d'ardeur.  N'est  guère  usité  qu'au  masc.  en  parlant  des  personnes  ou  des  animaux.
AIDIER,;V., a.;V.  a.  Aider,  donner  du  secours.  Chose  ke  no  lor  puist  niant  Aidier,   si  cum  sunt  l'acines  d'erbes.
(G.;V.; de  Vi.  V.  2338.)
AIDIEU,;s., m.;s.  m.  Adieu.  Prenant  congé  de  ses  lec-  teurs. Gui  Barôzai  leur  dit  :  «  Ai  Dieu  vo  queman  » ,  à  Dieu  je  vous  recommande.
AIDROICI,;V., a.;V.  a.  Rendre  droit,  redresser .f  Le  français  écrit  droit  et  redresser,  rendre  droit.  Chez  nous  droit  et  adroici.
AIDROCE,;s., f., Bourg.; f.  Adresse.  —  Bourg.  «  Aidroisse.n
AIFAÎTER,;V., a., Morv., n.;a.  Élever  jusqu'au  faite  en  amon-  celant. On  «  aifaîte  »  un  charriot  de  foin,  un  las  de  paille.  S'emploie  encore  dans  le  sens  de  com-  bler, remplir  en  entassant  jusqu'à  la  dernière  limite.  Morv.  n.  «  enfaîter.  »
AIFÂR3II,;V., a.;V.  a.  Affermir,  rendre  ferme,  conso-  lider :  «  lai  tarre  s'ô  aifàrmie.  »
AIF;adj., ital.;AUDI,  adj.  Affamé.  Dans  l'anc.  langue  faute  a  le  sens  de  manque.  —  En  ital.  falta  ^  néces-  sité, disette.  —  «  Etre  aifaudi  »  signifie  donc  être  dans  le  besoin,  dans  la  nécessité.  (Voy.  Fauter.)
AIFEURNER,;n.; v.  n.  Demeurer  en  repos,  rester  coi,  ne  pas  bouger  :  «  a  n'veu  pà  aifeurner  c'  gà  lai,  a  fau  qu'a  r'mue.  »
AIFFILÉE;loc., adv.;"(D'i  loc.  adv.  Avec  continuité,  sans  interruption  et  comme  à  la  file  :  il  a  fait  son  ouvrage  «  d'aiflilce  »  ;  nous  avons  fait  dix  lieues  «  d'aifïilée.  »"
AIFIQUET,;s., m., dimin.; m.  Affiquet,    petit    bijou,    objet  de  toilette  en  général.   Atïîquet  est  un  dimin.  de  atfiche,  que  le  dialecte  picard  prononce  «  afïïque  »  :  Quel  bien  vient-il  de  leur  mestier,  De  lor  granz  coupes  noielée.s,  D'or  et  d'argent  longues  et  lées,  Do  lor  aniaus,  de  lor  Afiches  ?
AIFLONGER,;n.; v.  n.  Être  comblé,  gorgé,  pourvu  avec  affluence,  avec  surabondance.  On  dit  d'un  homme  riche  qu'il  est  «  aifiongé  »  de  biens.  Une  prairie  arrosée  surabondamment  «  aiflonge  »  d'eau.  Le  mot  ne  se  prend  pas  en  mauvaise  part.  Ainsi  il  ne  serait  pas  correct  de  dire  que  Job  a  été  «  aifiongé  »  de  misère.
AIFOUGER,;V., a.;V.  a.  Écraser  sous  un  poids.  Le  bois  mort  «  aifouge  »  une  haie  vive  sur  laquelle  on  le  jette  en  masse.
AIFOULER,;V., a.;V.  a.  Meurtrir,  blesser  par  contu-  sion.
(R.;V.; de  R.  V.    1773.)  Vieilz  brebiailles  ou  moutons,
AIFRANCHI,;V., a.;V.  a.  Franchir,  traverser  en  sau-  tant :  K  aifranchir  »  un  fossé,  un  mur.
AIFREUMER,;a.; v.  a.  Affermer,  donner  ou  pren-  dre à  louage.  Se  dit  des  personnes  et  des  choses.  On  «  aifreume  »  une  servante,  on  «  aifreume  »  un  domaine.  Les  domestiques  «  s'aifreument  »  chaque  année,  ou  de  gré  à  gré,  ou  sur  une  place  qu'on  appelle  «  une  louée.  »  Aujourd'hui  on  «n'aifreume»  pas  un  homme  un  peu  exercé  à  moins  de  trente  pistoles  (300  fr.),  et  une  bonne  servante  à  moins  de  vingt.
AIFREUTER,;n., fr.;v.  n.  Aiïruiter,  devenir  mûr.  Le  mot  s'emploie  en  parlant  de  tous  les  fruits  de  la  terre  quels  qu'ils  soient.  —  Vi.  fr.  afruiter,  défruiter  :  Je  ne  voi  que  ma  chose  à  nessun  bien  s'Afruite,  Car  seelesmetruevent,  je  suis  morte  et  destruite.
AIFROINCHE,;s., f., Morv., n., Voy., Gloss.;Effranche,  traverse  de  bois  mobile  qui  soutient  les  ridelles  ou  les  planches  d'un  charriot.  Tout  charriot  est  muni  de  ses  «  ai-  froinches.  »  Quelques  localités  du  Morv.  n.  pro-  noncent «  enfronche.  »  Voy.  effranche  dans  le  Gloss.  de  Roquefort,  qui  donne  du  mot  une  inter-  prétation erronée.
AIFROU,;adj.;" OUSE,  adj.  Gourmand,  avide.  Par-  lant, au  XVl""  siècle,  des  femmes  de  Paris,  Tour-  nebu  disait,  dans  le  prologue  de  sa  comédie  des  Contens  :   «  Elles  sont  si  Affres  (gourmandes)  et"
AIFUTER,;V., a.;V.  a.  Affûter,  aiguiser,  rendre  pointu  au  propre  et  au  figuré.
AIFUTIAU;s., m.;" s.  m.  Engin  de  chasse  ou  de  pêche .  en  général  tous  les  menus  objets  qui  servent  à  divers  usages  ;  quelquef.  ornement  de  toilette."
AIGENOILLÉE,;s., f.;s.  f.  Coussin  de  paille  ou  autre  sur  lequel  on  s'agenouille.  Les  lavandières  se  servent  d'une  «  aigenoillée  »  pour  se  préserver  de  l'humidité.
AIGENOILLER,;a., Morv., n.; a.  Agenouiller,  mettre  à  ge-  noux. —  Morv.  n.  «  azenoiller  »  :
(R.;n.; de  (a  n.  v.  8749.)
AIGENOILLONS,;loc.; loc.  A  genoux,  sur  ses  genoux  :
{IB.;V.; V.  18399.)
AIGER,;V., a.;V.  a.  Mettre  dans  l'eau,  mouiller,  rouir  le  chanvre.
AIGLLIE,;s., f., n.; mouilL,  s.  f.  Aiguillée  :  «  aine  aigUie  d'  filot  »,   une  aiguillée  de  fil.  —  IMorv.  n.
AIGNEAI,;s., m.;s.  m.  Agneau  :  «  mé  bcurbis  m'an  beillé  chis  aigneais.  »
AIGOLE.;adj.;" adj.  Gourmand,  avide  ;  intéressé  au  figuré."
AIGONISER,;V., a.;V.  a.  Injurier,  assaillir  de  paroles  outrageantes.  Ce  terme  se  retrouve  dans  presque  tous  les  patois.  Nous  disons  aussi  «  aigonir.  »  M.  Littré  condamije  ce  dernier  verbe  comme  un  mot  du  plus  mauvais  langage.
AIGOU,;s., m.;s.  m.  Ecoulement  de  l'eau ,  égout ,  gouttière,  rigole  d'égouttement.  Les  «  aigous  »  d'une  cour,  d'un  chemin,  d'un  toit.
AIGOUJÀ,;s., m.;s.  m.  IIoux.  Env.  de  Chàlcau-Chi-  non.
AIGRAFVER,;a.; v.  a.  Meurtrir,  blesser  au  pied.  Se  dit  surtout  des  boeufs  fatigués  par  un  long-  voyage  ou  par  la  marche  sur  des  chemins  rocail-  leux.
AIGRON,;s., m.;s.  m.  Héron,  oiseau  de  l'ordre  des  échas-  siers.
AIGRU,;s., m., Morv., n.;"m.  Houx.  Morv.  n.  Forez  :  «  agrêvou.  »  Grec  :  ày/oia,  houx;  axpo(.  pointu.  iVoy.  Aigueuriau.)"
AIGUAISSE,;s., f.;s.  f.  Agasse  ou  agace,  pie.  Le  nom  de  la  frétillante  Margot  se  jjrononcc  d'une  manière  très  variable  dans  les  différents  dialectes.  Le  roman  de  Renart,  avec  La  Fontaine  et  la  plupart  des  modernes,  dit  agace  :
AIGUANCI.;V., n.;V.  n.  Diminuer  par  l'effet  de  l'éva-  poration.  Se  dit  d'un  liquide  qui  baisse  en  bouil-  lant trop  longtemps  sur  le  feu  :  retirez  la  chau-  dière, votre  eau  «  s'aiguancit.  »
AIGUË,;s., f.;s.  f.  Eau.
AIGUERIOT,;s., m.;s.  m.  Entonnoir.  De  «  aiguë  ».  eau.
AIGUERUELLE,;s., f., Morv., n.;f.  Animalcule  qui  abonde  dans  les  eaux  de  source,  dans  les  fontaines.  J'ignore  son  nom  scientifique.  — Morv.  n.
AIGUEURIAU,;s., m., fr., fr.;m.  Houx.  Le  houx  est  extrê-  mement commun  dans  le  Morvan.  En  plusieurs  lieux  il  forme  des  haies  vives  d'un  très  bel  effet.  Quelques  industriels  du  pays  le  mettent  en  coupe  réglée  pour  s'approvisionner  de  manches  de  fouets  qu'ils  vendent  en  gros.  Le  prix,  suivant  la  Revue  des  Eaux  et  Forêts,  «  est  de  50  fr.  le  mille  lors-  qu'ils sont  à  l'usage  des  charretiers,  et  100  fr.  lorsqu'ils  peuvent  servir  à  fabriquer  les  grands  fouets  d'omnibus.  Depuis  troismois,  — mars  1870,  —  il  est  sorti  des  bois  du  Morvan  environ  600,000  brins  de  cette  essence,  dont  400,000  sont  partis  pour  l'Angleterre.  «
AIGUIAN,;s., m., Morv., n., fr.; Gland,  fruit  du  chêne.  Morv.  n.  «  aillan  »,  avec  les  11  mouillées.  Vi.  fr.  aglan,  aiglan.
H.;Norm.; Maine  :  «  guian.  «  —  Berry  :  «  lland,  aillant.  »  —  Norm.  «  lian,  glian.  »  —  Suisse  rom.  «  aillan,  eillan.  )i  Ital.  (jhianda.
AIGUIAURE,;s., f., loc.; f.  Pluie  subite  et  torrentielle,  grosse  averse.  Quelques  loc.  prononcent  «  aiguore,  aiguiore  »,  et  même  «  aidiore.  »
AIGUIAURER,;n.; v.  n.  Tomber  avec  violence.  Se  dit  de  la  pluie  lorsqu'elle  tombe  à  verse.
AIGUÏER,;V., a.;V.  a.  Aiguiser,  rendre  aigu,  pointu,  ^lorv.  n.-n.-o.  «  aigujer.  »
AIGUEEU,;s., m.;s.  m.  Glu,  matière  visqueuse  (jui  sert  à  plusieurs  usages.
AIGUJOUÉ,;s., m.;s.  m.  Aiguisoir,  pierre  à  aiguiser.
AIGULLE,;s., f.;11  mouil.,  s.  f.  Aiguille  pour  coudre,  timon  de  voiture,  grande  perche  qui  sert  à  main-  tenir le  foin  sur  les  chariots.
